EloGroup,ECO,Count,Proportion
1500-1999,E10,6,2.3609034390493429e-4
1500-1999,E12,6,2.3609034390493429e-4
1500-1999,E24,6,2.3609034390493429e-4
1500-1999,E71,6,2.3609034390493429e-4
1500-1999,A23,5,1.967419532541119e-4
1500-1999,A38,5,1.967419532541119e-4
1500-1999,B09,5,1.967419532541119e-4
1500-1999,B17,5,1.967419532541119e-4
1500-1999,B25,5,1.967419532541119e-4
1500-1999,B59,5,1.967419532541119e-4
1500-1999,B88,5,1.967419532541119e-4
1500-1999,C14,5,1.967419532541119e-4
1500-1999,D25,5,1.967419532541119e-4
1500-1999,D46,5,1.967419532541119e-4
1500-1999,D55,5,1.967419532541119e-4
1500-1999,D70,5,1.967419532541119e-4
1500-1999,D78,5,1.967419532541119e-4
1500-1999,E27,5,1.967419532541119e-4
1500-1999,E76,5,1.967419532541119e-4
1500-1999,A18,4,1.5739356260328953e-4
1500-1999,A27,4,1.5739356260328953e-4
1500-1999,A33,4,1.5739356260328953e-4
1500-1999,A70,4,1.5739356260328953e-4
1500-1999,A81,4,1.5739356260328953e-4
1500-1999,A83,4,1.5739356260328953e-4
1500-1999,B42,4,1.5739356260328953e-4
1500-1999,B57,4,1.5739356260328953e-4
1500-1999,B75,4,1.5739356260328953e-4
1500-1999,B76,4,1.5739356260328953e-4
1500-1999,B83,4,1.5739356260328953e-4
1500-1999,B95,4,1.5739356260328953e-4
1500-1999,C06,4,1.5739356260328953e-4
1500-1999,C71,4,1.5739356260328953e-4
1500-1999,C72,4,1.5739356260328953e-4
1500-1999,C75,4,1.5739356260328953e-4
1500-1999,C84,4,1.5739356260328953e-4
1500-1999,C87,4,1.5739356260328953e-4
1500-1999,C92,4,1.5739356260328953e-4
1500-1999,D22,4,1.5739356260328953e-4
1500-1999,D47,4,1.5739356260328953e-4
1500-1999,D82,4,1.5739356260328953e-4
1500-1999,D93,4,1.5739356260328953e-4
1500-1999,E32,4,1.5739356260328953e-4
1500-1999,E51,4,1.5739356260328953e-4
1500-1999,E67,4,1.5739356260328953e-4
1500-1999,E83,4,1.5739356260328953e-4
1500-1999,A12,3,1.1804517195246714e-4
1500-1999,A62,3,1.1804517195246714e-4
1500-1999,A84,3,1.1804517195246714e-4
1500-1999,A88,3,1.1804517195246714e-4
1500-1999,A90,3,1.1804517195246714e-4
1500-1999,B35,3,1.1804517195246714e-4
1500-1999,B47,3,1.1804517195246714e-4
1500-1999,B49,3,1.1804517195246714e-4
1500-1999,B78,3,1.1804517195246714e-4
1500-1999,C03,3,1.1804517195246714e-4
1500-1999,C32,3,1.1804517195246714e-4
1500-1999,C49,3,1.1804517195246714e-4
1500-1999,C79,3,1.1804517195246714e-4
1500-1999,D58,3,1.1804517195246714e-4
1500-1999,E14,3,1.1804517195246714e-4
1500-1999,E34,3,1.1804517195246714e-4
