EloGroup,ECO,TotalGames,Count_Black_Win,Count_Draw,Count_White_Win,Proportion_Black_Win,Proportion_Draw,Proportion_White_Win
2000+,A41,2,1,1,0,0.5,0.5,0
2000+,A43,8,4,0,4,0.5,0,0.5
2000+,A44,1,0,0,1,0,0,1
2000+,A45,23,11,2,10,0.4782608695652174,0.08695652173913043,0.43478260869565216
2000+,A46,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285
2000+,A47,1,0,0,1,0,0,1
2000+,A48,3,0,0,3,0,0,1
2000+,A50,5,3,0,2,0.6,0,0.4
2000+,A51,20,8,3,9,0.4,0.15,0.45
2000+,A52,18,8,3,7,0.4444444444444444,0.16666666666666666,0.3888888888888889
2000+,A53,2,1,1,0,0.5,0.5,0
2000+,A56,4,1,0,3,0.25,0,0.75
2000+,A57,1,0,0,1,0,0,1
2000+,A60,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,A64,1,1,0,0,1,0,0
2000+,A67,2,1,0,1,0.5,0,0.5
2000+,A80,2,1,0,1,0.5,0,0.5
2000+,A84,1,1,0,0,1,0,0
2000+,A85,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,A91,1,0,1,0,0,1,0
2000+,B00,28,11,1,16,0.39285714285714285,0.03571428571428571,0.5714285714285714
2000+,B01,12,3,1,8,0.25,0.08333333333333333,0.6666666666666666
2000+,B02,15,7,2,6,0.4666666666666667,0.13333333333333333,0.4
2000+,B03,7,5,0,2,0.7142857142857143,0,0.2857142857142857
2000+,B04,2,0,1,1,0,0.5,0.5
2000+,B06,12,2,0,10,0.16666666666666666,0,0.8333333333333334
2000+,B07,19,8,2,9,0.42105263157894735,0.10526315789473684,0.47368421052631576
2000+,B08,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,B10,22,10,3,9,0.45454545454545453,0.13636363636363635,0.4090909090909091
2000+,B11,5,1,0,4,0.2,0,0.8
2000+,B12,12,9,1,2,0.75,0.08333333333333333,0.16666666666666666
2000+,B13,4,2,1,1,0.5,0.25,0.25
2000+,B14,1,0,0,1,0,0,1
2000+,B15,7,2,1,4,0.2857142857142857,0.14285714285714285,0.5714285714285714
2000+,B17,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,B18,5,3,0,2,0.6,0,0.4
2000+,B20,21,15,2,4,0.7142857142857143,0.09523809523809523,0.19047619047619047
2000+,B21,82,44,6,32,0.5365853658536586,0.07317073170731707,0.3902439024390244
2000+,B22,10,6,1,3,0.6,0.1,0.3
2000+,B23,17,13,0,4,0.7647058823529411,0,0.23529411764705882
2000+,B24,1,1,0,0,1,0,0
2000+,B27,1,0,0,1,0,0,1
2000+,B28,18,11,3,4,0.6111111111111112,0.16666666666666666,0.2222222222222222
2000+,B29,1,1,0,0,1,0,0
2000+,B30,36,12,3,21,0.3333333333333333,0.08333333333333333,0.5833333333333334
2000+,B31,8,3,0,5,0.375,0,0.625
2000+,B32,12,5,0,7,0.4166666666666667,0,0.5833333333333334
2000+,B33,5,3,0,2,0.6,0,0.4
2000+,B34,6,4,0,2,0.6666666666666666,0,0.3333333333333333
2000+,B35,2,2,0,0,1,0,0
2000+,B38,4,2,1,1,0.5,0.25,0.25
2000+,B39,1,0,0,1,0,0,1
2000+,B40,16,4,1,11,0.25,0.0625,0.6875
2000+,B41,2,2,0,0,1,0,0
2000+,B42,3,0,1,2,0,0.3333333333333333,0.6666666666666666
2000+,B43,6,4,0,2,0.6666666666666666,0,0.3333333333333333
2000+,B44,4,4,0,0,1,0,0
2000+,B45,1,1,0,0,1,0,0
2000+,B47,1,0,0,1,0,0,1
2000+,B50,9,4,1,4,0.4444444444444444,0.1111111111111111,0.4444444444444444
2000+,B51,5,1,0,4,0.2,0,0.8
2000+,B52,4,3,1,0,0.75,0.25,0
2000+,B53,3,1,0,2,0.3333333333333333,0,0.6666666666666666
2000+,B54,1,0,0,1,0,0,1
2000+,B56,1,1,0,0,1,0,0
2000+,B57,1,0,0,1,0,0,1
2000+,B60,1,0,0,1,0,0,1
